MARKER,SD,MISSING
M24940,0.814814815,18
M24947,3,6
M25107,9.448275862,8
M25109,1.163265306,34
M25143,4.672727273,14
M25250,2.030674847,16
M25254,3,10
M25308,1.022988506,9
M25342,5.337209302,10
M25431,1.8,20
M25438,1.304878049,16
M25444,6.25,28
M25446,3.413793103,8
M25481,2.766871166,16
M25539,1.75739645,13
M25542,4.206703911,5
M25623,1.616352201,22
M25645,1.32748538,11
M25747,2.348314607,5
M25799,1.632911392,22
M25814,2.95480226,6
M25921,1.467836257,12
M25941,0.482352941,9
M25950,3.214689266,5
M25977,11.56140351,10
M26011,5.188235294,11
M26016,5.103896104,25
M26054,4.454545455,7
M26076,2.179775281,4
M26106,2,4
M26133,2.224719101,4
M26139,3.857142857,14
M26180,10.125,5
M26194,3.074074074,17
M26237,4.714285714,12
M26244,0.125827815,27
M26262,4.954285714,7
M26291,6.152542373,5
M26344,2.506329114,20
M26402,1.122905028,5
M26466,1.384615385,24
M26487,1.701986755,28
M26490,5.666666667,11
M26501,2.915662651,15
M26504,1.13559322,7
M26544,2.923076923,22
M26640,6.847953216,9
M26803,11.53846154,23
M26815,3.74556213,15
M26884,0.655555556,4
M26901,4.117318436,4
M26907,8.716049383,16
M27007,5.068965517,8
M27024,1.942528736,7
M27087,0,12
M27092,7.367816092,7
M27118,0.748571429,8
M27216,3.598802395,13
M27245,7.285714286,12
M27338,9.178571429,13
M27365,12.53142857,8
M27410,1.423529412,10
M27435,3.981818182,15
M27441,1.443037975,22
M27453,5.523255814,8
M27506,1.036363636,16
M27519,0.428571429,23
M27590,5.299319728,34
M27594,1.248447205,19
M27607,5.745762712,6
M27611,0.686046512,11
M27781,4.885057471,6
M27787,0.622641509,20
M27820,5.846153846,20
M27834,0.150837989,4
M27888,4.721212121,15
M27920,11.62025316,22
M27950,2,14
M27957,0.701298701,27
M27976,4.949685535,22
M27990,3.6,12
M27994,1.539325843,5
M28000,2.355932203,6
M28024,0.271604938,17
M28073,1.659217877,3
M28130,11.39306358,9
M28183,8.941520468,12
M28227,1.611764706,10
M28243,8.011764706,10
M28259,1.72972973,30
M28315,9.981595092,18
M28319,4.30994152,11
M28323,8.976047904,14
